Clave,Unidad,Nombre del producto,Cantidad,Precio de Compra,Precio de Venta,Reserva,Precios de venta adicionales (opcional),Información Adicional,Categoría
96,-,*ARC RODAJAS CRAZY X465G-,9999,3690.00,4100.00,1,,,ARCOR
97,-,*ARC MASTICABLE FRUTAL X800-,9999,5423.40,6026.00,1,,,ARCOR
98,-,*COFLER BLOCK MANI CON CHOCOLATE X30,9999,0.00,0.00,1,,,ARCOR
99,-,*ARC CREMINO SURTIDO X94OG-,9999,7555.50,8395.00,1,,,ARCOR
100,-,*ARC FRESH CRISTAL X405GS.-,9999,3213.00,3570.00,1,,,ARCOR
101,-,*ARC B.TOFFES AGUILA X822-,9999,5537.70,6153.00,1,,,ARCOR
102,-,*ARC B.TOFFES AVELLANA X648-,9999,5537.70,6153.00,1,,,ARCOR
103,-,*ARC B.TOFFES B O BON X822-,9999,5537.70,6153.00,1,,,ARCOR
104,-,*ARC B.TOFFES BLANCO X822-,9999,5537.70,6153.00,1,,,ARCOR
105,-,*ARC B.TOFFES CAFE  X822-,9999,5537.70,6153.00,1,,,ARCOR
106,-,*ARC B.TOFFES CHOCOL X822-,9999,5537.70,6153.00,1,,,ARCOR
107,-,*ARC B.TOFFES CREEM  -,9999,5537.70,6153.00,1,,,ARCOR
108,-,*ARC B.TOFFES D/LECHE X822-,9999,5537.70,6153.00,1,,,ARCOR
109,-,*ARC B.TOFFES LECHE  X825-,9999,5537.70,6153.00,1,,,ARCOR
110,-,*ARC B.TOFFES MENTA  X822-,9999,5537.70,6153.00,1,,,ARCOR
111,-,*ARC ROCKLETS 18X40GS.-,9999,12498.30,13887.00,1,,,ARCOR
112,-,*ARC ROCKLETS 24X20GS.-,9999,10039.50,11155.00,1,,,ARCOR
113,-,*ARC BON O BON AGUILA X18U.-,9999,4783.50,5315.00,1,,,ARCOR
114,-,*ARC BON O BON BLANCO X30-,9999,7920.00,8800.00,1,,,ARCOR
115,-,*ARC BON O BON LECHE X30U-,9999,7920.00,8800.00,1,,,ARCOR
116,-,*ARC BON O BON CHOCOLINA X18U-,9999,4783.50,5315.00,1,,,ARCOR
117,-,*ARC BON O BON OBLEA X20 BLANCO-,9999,10450.80,11612.00,1,,,ARCOR
118,-,*ARC BON O BON OBLEA X20 NEGRO-,9999,10450.80,11612.00,1,,,ARCOR
119,-,*ARC BON O BON CHOCOLINA XL  X18 U -,9999,12798.00,14220.00,1,,,ARCOR
120,-,*ARC BON O BON  XL  X18 U -,9999,12798.00,14220.00,1,,,ARCOR
121,-,*CABSHA BOCADITO X48U.-,9999,12264.30,13627.00,1,,,ARCOR
122,-,*ARC ROCKLETS MINI 44X10-,9999,10298.70,11443.00,1,,,ARCOR
123,-,*ARC COFLER AIR BBON X67G.-,9999,1854.00,2060.00,1,,,ARCOR
124,-,*ARC COFLER AIR TOFFI X70G.-,9999,1854.00,2060.00,1,,,ARCOR
125,-,*ARC COFLER AIRE. ALMENDRA X55-,9999,1854.00,2060.00,1,,,ARCOR
126,-,*ARC COFLER AIRE. BLANCO X55-,9999,1854.00,2060.00,1,,,ARCOR
127,-,*ARC COFLER AIRE. COMBI. X55-,9999,1854.00,2060.00,1,,,ARCOR
128,-,*ARC COFLER AIRE. LECHE X55-,9999,1854.00,2060.00,1,,,ARCOR
129,-,*ARC COFL AIRE. ALMEN. X27-,9999,981.00,1090.00,1,,,ARCOR
130,-,*ARC COFL AIRE. BLANCO X27-,9999,981.00,1090.00,1,,,ARCOR
131,-,*ARC COFL AIRE. BON O BON  X30-,9999,981.00,1090.00,1,,,ARCOR
132,-,*ARC COFL AIRE. COMBIN. X27-,9999,981.00,1090.00,1,,,ARCOR
133,-,*ARC COFL AIRE. LECHE X27-,9999,981.00,1090.00,1,,,ARCOR
134,-,*ARC CHOCOLATIN 30X25 BLANCO-,9999,19665.00,21850.00,1,,,ARCOR
135,-,*ARC CHOCOLATIN 30X25 LECHE-,9999,19665.00,21850.00,1,,,ARCOR
136,-,*ARC CHOCOLATIN BLANCO 20X8-,9999,4554.00,5060.00,1,,,ARCOR
137,-,*ARC CHOCOLATIN NEGRO 20X8-,9999,4554.00,5060.00,1,,,ARCOR
138,-,*ARC COFLER BLOCK X20U.-,9999,859.50,955.00,1,,,ARCOR
139,-,*ARC COFLER BLOCK BLANCO X20U.-,9999,859.50,955.00,1,,,ARCOR
140,-,*ARC COFLER BLOCK X300GS-,9999,6676.20,7418.00,1,,,ARCOR
141,-,*ARC COFLER BLOCK X170G-,9999,3912.30,4347.00,1,,,ARCOR
142,-,*ARC COFLER BOCKAZO X 1 KG-,9999,19044.00,21160.00,1,,,ARCOR
143,-,*ARC COFLER BLOCK MITI MITI X170 GRS-,9999,3912.30,4347.00,1,,,ARCOR
144,-,*ARC COFLER BLOCK TABLETA X110-,9999,2223.00,2470.00,1,,,ARCOR
145,-,*CRIOLLITAS X3 -,9999,956.70,1063.00,1,,,ARCOR
146,-,*CRIOLLITAS X100 GR,9999,0.00,0.00,1,,,ARCOR
147,-,*BAGLEY OPERA X220GS-,9999,1439.10,1599.00,1,,,ARCOR
148,-,*BAGLEY OPERA X55GS-,9999,441.00,490.00,1,,,ARCOR
149,-,*BAGLEY OPERA X92GS-,9999,688.50,765.00,1,,,ARCOR
150,-,*BAGLEY CHOCOLINA X170GS-,9999,916.20,1018.00,1,,,ARCOR
151,-,*BAGLEY CHOCOLINA X262GS-,9999,1268.10,1409.00,1,,,ARCOR
152,-,*bagley chocolinas blanca x262gr-,9999,1206.00,1340.00,1,,,ARCOR
153,-,*BAGLEY SONRISAS FRUTILLA-,9999,770.40,856.00,1,,,ARCOR
154,-,*BAGLEY RUMBA X112GS-,9999,770.40,856.00,1,,,ARCOR
155,-,*BAGLEY RUMBA x336-,9999,2013.30,2237.00,1,,,ARCOR
156,-,*BAGLEY MELLIZAS X112GS-,9999,770.40,856.00,1,,,ARCOR
157,-,*BAGLEY MERENGADAS X93-,9999,770.40,856.00,1,,,ARCOR
158,-,*BAGLEY AMOR X112 GS-,9999,770.40,856.00,1,,,ARCOR
159,-,*MACUCAS X110 GS-,9999,616.50,685.00,1,,,ARCOR
160,-,*BAGLEY TRAVIATA X303GS-,9999,1164.60,1294.00,1,,,ARCOR
161,-,*BAGLEY TRAVIATA X100 GR-,9999,0.00,0.00,1,,,ARCOR
162,-,*AGUILA SALADIX JAMON X100-,9999,993.60,1104.00,1,,,ARCOR
163,-,*AGUILA SALADIX PARMEZANO X100-,9999,993.60,1104.00,1,,,ARCOR
164,-,*AGUILA SALADIX PIZZA X100-,9999,993.60,1104.00,1,,,ARCOR
165,-,*AGUILA SALADIX CALABRESA X30-,9999,666.00,740.00,1,,,ARCOR
166,-,*AGUILA SALADIX CALABREZA  X100-,9999,993.60,1104.00,1,,,ARCOR
167,-,*AGUILA SALADIX JAMON X30-,9999,666.00,740.00,1,,,ARCOR
168,-,*AGUILA SALADIX PARMEZANO X30-,9999,666.00,740.00,1,,,ARCOR
169,-,*AGUILA SALADIX PIZZA X30G-,9999,666.00,740.00,1,,,ARCOR
170,-,*BAGLEY PORTEÑITA X130-,9999,703.80,782.00,1,,,ARCOR
171,-,*ARC TURRON 50X25G.-,9999,7470.00,8300.00,1,,,ARCOR
172,-,*FIZZ X48 U -,9999,7193.70,7993.00,1,,,ARCOR
173,-,*BAGLEY REX ESTUCHE X125-,9999,1113.30,1237.00,1,,,ARCOR
174,-,*BAGLEY REX TUBO X75-,9999,740.70,823.00,1,,,ARCOR
175,-,*BAGLEY REX X75G.-,9999,740.70,823.00,1,,,ARCOR
176,-,*BAGLEY KESITAS ESTU. X125-,9999,1113.30,1237.00,1,,,ARCOR
177,-,*BAGLEY KESITAS X75G.-,9999,740.70,823.00,1,,,ARCOR
178,-,"*BAGLEY SALVADO X3- ",9999,1917.00,2130.00,1,,,ARCOR
179,-,*BAGLEY SALVADO X100 GR-,9999,747.00,830.00,1,,,ARCOR
180,-,*ARC TURRON CHOCOLATE -,9999,0.00,0.00,1,,,ARCOR
181,-,*SERRANAS SANDWICH X16,9999,0.00,0.00,1,,,ARCOR
182,-,*SURTIDO BAGLEY -,9999,1676.70,1863.00,1,,,ARCOR
183,-,*SURTIDO DIVERSION -,9999,1454.40,1616.00,1,,,ARCOR
184,-,*BON O BON COCO 270GR,9999,4783.50,5315.00,1,,,ARCOR
185,-,*KIOSCO EN CASA X246 GR-,9999,5278.50,5865.00,1,,,ARCOR
186,-,*ARCOR SELECCION X228 GR-,9999,5154.30,5727.00,1,,,ARCOR
187,-,*MOGUL CONITOS X1 KG -,9999,6157.80,6842.00,1,,,ARCOR
188,-,*MOGUL JELLY BUTTONS X1 KG-,9999,6157.80,6842.00,1,,,ARCOR
189,-,*MOGUL ANILLOS X1 KG -,9999,6157.80,6842.00,1,,,ARCOR
190,-,*MOGUL DIENTES X500 GRS-,9999,4228.20,4698.00,1,,,ARCOR
191,-,*MOGUL DIENTES X150 GRS-,9999,0.00,0.00,1,,,ARCOR
192,-,*MOGUL MORAS X500 GRS-,9999,4228.20,4698.00,1,,,ARCOR
193,-,*MOGUL MORAS X150 GRS-,9999,0.00,0.00,1,,,ARCOR
194,-,*MOGUL FRUTILLAS ACIDAS X150 GRS-,9999,0.00,0.00,1,,,ARCOR
195,-,*MOGUL SANDIA X500 GRS-,9999,4228.20,4698.00,1,,,ARCOR
196,-,*MOGUL FRUTILLAS ACIDAS X500 GRS-,9999,4228.20,4698.00,1,,,ARCOR
197,-,*AGUILA BARRA X150 GRS-,9999,3555.00,3950.00,1,,,ARCOR
198,-,*AGUILA BARRA X100 GRS -,9999,2791.80,3102.00,1,,,ARCOR
199,-,*AGUILA BARRA 14X24 GRS-,9999,12775.50,14195.00,1,,,ARCOR
200,-,*AGUILA BARRA 60% CACAO 14X24 GRS-,9999,12775.50,14195.00,1,,,ARCOR
201,-,*ARC CEREAL MIX X20 CLASICO-,9999,8964.00,9960.00,1,,,ARCOR
202,-,*ARC CEREAL MIX X20 FLLA/CHOCOLATE-,9999,8964.00,9960.00,1,,,ARCOR
203,-,*ARC CEREAL MIX X20 FRUTILLA-,9999,8964.00,9960.00,1,,,ARCOR
204,-,*ARC CEREAL MIX X20 FRUTILLA LIGHT-,9999,8964.00,9960.00,1,,,ARCOR
205,-,*ARC CEREAL MIX X20 MANZANA-,9999,8964.00,9960.00,1,,,ARCOR
206,-,*ARC CEREAL MIX PASION CHOCOLATE X20 U-,9999,8964.00,9960.00,1,,,ARCOR
207,-,*ARC CEREAL MIX CHOCOLATE X20 U-,9999,8964.00,9960.00,1,,,ARCOR
208,-,*MOGUL PALOTES EXTEME UVA X70 U -,9999,5137.20,5708.00,1,,,ARCOR
209,-,*MOGUL PALOTES EXTREME SANDIA X70 U-,9999,5137.20,5708.00,1,,,ARCOR
210,-,*MOGUL PALOTES EXTREME TUTI X70 U-,9999,5137.20,5708.00,1,,,ARCOR
211,-,*ARC MOGUL EXTREME ROCK X10U.-,9999,5645.70,6273.00,1,,,ARCOR
212,-,*ARC MOGUL EXTREME SANDIA X10-,9999,5645.70,6273.00,1,,,ARCOR
213,-,*ARC MOGUL OSITO EXTREME X1OU.-,9999,5645.70,6273.00,1,,,ARCOR
214,-,*MOGUL JELLY BEANS X10,9999,5645.70,6273.00,1,,,ARCOR
215,-,"*MOGUL DIENTES X50GR X10 UN ",9999,5645.70,6273.00,1,,,ARCOR
216,-,*MOGUL MORAS X 50GR X10UN,9999,5645.70,6273.00,1,,,ARCOR
217,-,*ARC MOGUL CEREBRITO X12-,9999,3991.50,4435.00,1,,,ARCOR
218,-,*ARC MOGUL DINOS X12U-,9999,3991.50,4435.00,1,,,ARCOR
219,-,*ARC MOGUL FRUTAL 10X60-,9999,3991.50,4435.00,1,,,ARCOR
220,-,*ARC MOGUL OSITOS   X12U-,9999,3991.50,4435.00,1,,,ARCOR
221,-,*ARC MOGUL PIECITOS X12U-,9999,3991.50,4435.00,1,,,ARCOR
222,-,*ARC MOGUL TIBURON  X12U-,9999,3991.50,4435.00,1,,,ARCOR
223,-,*ARC MOGUL VIBORITA X12U-,9999,4885.20,5428.00,1,,,ARCOR
224,-,*ARC MOGUL ROLLO X12 EXTREME-,9999,3746.70,4163.00,1,,,ARCOR
225,-,*ARC ROLLO MOGUL X12-,9999,3746.70,4163.00,1,,,ARCOR
226,-,*ARC CHUPETIN ARQUITO X50U-,9999,3674.70,4083.00,1,,,ARCOR
227,-,*MOGUL TUBITOS X16 U-,9999,4724.10,5249.00,1,,,ARCOR
228,-,*ARC POPS EVOL EXTREME X24u.-,9999,2965.50,3295.00,1,,,ARCOR
229,-,*ARC POPS EVOLU X24 P/LENGUA-,9999,2965.50,3295.00,1,,,ARCOR
230,-,*ARC POPS EVOLU X24 SURTIDO-,9999,2965.50,3295.00,1,,,ARCOR
231,-,*ARC POPS EVOLU X24U BERRY-,9999,2965.50,3295.00,1,,,ARCOR
232,-,*ARC POPS EVOLU X24U CEREZA-,9999,2965.50,3295.00,1,,,ARCOR
233,-,*FLICS FRUTAS X14 U -,9999,4230.00,4700.00,1,,,ARCOR
234,-,*CABSHAC AVELLANAS X24UN,9999,0.00,0.00,1,,,ARCOR
235,-,*CABSHAC MARROC X24UN,9999,0.00,0.00,1,,,ARCOR
236,-,*TRAVIATA REX X36,9999,459.00,510.00,1,,,ARCOR
237,-,*TRAVIATA KESITAS X36,9999,459.00,510.00,1,,,"ARCOR "
238,-,*COFLER COOKIES BON O BON X105GR X16U,9999,1647.00,1830.00,1,,,"ARCOR "
239,-,*COFLER COOKIES CHOCO  X105GR X16U,9999,1647.00,1830.00,1,,,ARCOR
240,-,*COFLER COOKIES BAÑADA X105GR X16U,9999,1647.00,1830.00,1,,,ARCOR
241,-,*BAGGIO MANZANA X1 L-,9999,1170.00,1300.00,1,,,BAGGIO
242,-,*BAGGIO NARANJA X1 L -,9999,1170.00,1300.00,1,,,BAGGIO
243,-,*BAGGIO MULTIFRUTA X 1L-,9999,1170.00,1300.00,1,,,BAGGIO
244,-,*BAGGIO NARANJA X200 -,9999,310.50,345.00,1,,,BAGGIO
245,-,*BAGGIO MANZANA X200-,9999,310.50,345.00,1,,,BAGGIO
246,-,*BAGGIO MULTIFRUTA X200-,9999,310.50,345.00,1,,,BAGGIO
247,-,*BARILOCHITO CEREZAS X24U-,9999,0.00,0.00,1,,,BARILOCHE
248,-,*BARILOCHITO UVAS X24-,9999,0.00,0.00,1,,,BARILOCHE
249,-,*BARILOCHITO WHISKY X24-,9999,0.00,0.00,1,,,BARILOCHE
250,-,*BARILOCHITO DULCE DE LECHE X24-,9999,0.00,0.00,1,,,BARILOCHE
251,-,*BIC LAPICERAS X50 U AZUL-,9999,488.70,543.00,1,,,BIC
252,-,*BIC LAPICERAS X50 U NEGRA-,9999,488.70,543.00,1,,,BIC
253,-,*BICO LAPICERAS X50 U ROJA-,9999,488.70,543.00,1,,,BIC
254,-,*BIC ENCENDEOR MAXI X12-,9999,846.00,940.00,1,,,BIC
255,-,*BIC ENCENDEOR MINI X12-,9999,675.00,750.00,1,,,BIC
256,-,*BILLIKEN RUEDITAS X12U.-,9999,2166.30,2407.00,1,,,BILLIKENT
257,-,*BILLIKEN MAST. FRUTAL -,9999,2256.30,2507.00,1,,,BILLIKENT
258,-,*BILLIKEN MAST. YOGHURT-,9999,2256.30,2507.00,1,,,BILLIKENT
259,-,"*TEMBLEKE BIYU ",9999,7933.50,8815.00,1,,,BILLIKENT
260,-,*BIZNIKKE X28 GRS-,9999,7785.00,8650.00,1,,,BIZNIKE
261,-,*BIZNIKKE  BLANCO X28GR-,9999,7785.00,8650.00,1,,,BIZNIKE
262,-,*MECANO CHOCOLATE X19 GS RUEDA X24 U -,9999,7560.00,8400.00,1,,,BONAFIDE
263,-,*MECANO BLANCO X19 GS RUEDA X24 U-,9999,7560.00,8400.00,1,,,BONAFIDE
264,-,*MECANO TABLETA CHOCO X45 GS -,9999,0.00,0.00,1,,,BONAFIDE
265,-,*MECANO TABLETA BLANCO X45 GS -,9999,0.00,0.00,1,,,BONAFIDE
266,-,*MECANO TABLETA CHOC X 80 GS -,9999,1170.00,1300.00,1,,,BONAFIDE
267,-,*MECANO TABLETA  BLANCO X 80 GS -,9999,1170.00,1300.00,1,,,BONAFIDE
268,-,*BONA BOCADITO DDL -,9999,8280.00,9200.00,1,,,BONAFIDE
269,-,*BONA BOCADITO MENTA -,9999,0.00,0.00,1,,,BONAFIDE
270,-,"*BONA MECANO NUGATON RUEDA ",9999,7560.00,8400.00,1,,,BONAFIDE
