id,nombre,costo,precio_venta
132,*ARC COFL AIRE. COMBIN. X27-,981.0,1090.0
133,*ARC COFL AIRE. LECHE X27-,981.0,1090.0
134,*ARC CHOCOLATIN 30X25 BLANCO-,19665.0,21850.0
135,*ARC CHOCOLATIN 30X25 LECHE-,19665.0,21850.0
136,*ARC CHOCOLATIN BLANCO 20X8-,4554.0,5060.0
137,*ARC CHOCOLATIN NEGRO 20X8-,4554.0,5060.0
138,*ARC COFLER BLOCK X20U.-,859.5,955.0
139,*ARC COFLER BLOCK BLANCO X20U.-,859.5,955.0
140,*ARC COFLER BLOCK X300GS-,6676.2,7418.0
141,*ARC COFLER BLOCK X170G-,3912.3,4347.0
142,*ARC COFLER BOCKAZO X 1 KG-,19044.0,21160.0
143,*ARC COFLER BLOCK MITI MITI X170 GRS-,3912.3,4347.0
144,*ARC COFLER BLOCK TABLETA X110-,2223.0,2470.0
145,*CRIOLLITAS X3 -,956.7,1063.0
146,*CRIOLLITAS X100 GR,0.0,0.0
147,*BAGLEY OPERA X220GS-,1439.1,1599.0
148,*BAGLEY OPERA X55GS-,441.0,490.0
149,*BAGLEY OPERA X92GS-,688.5,765.0
150,*BAGLEY CHOCOLINA X170GS-,916.2,1018.0
151,*BAGLEY CHOCOLINA X262GS-,1268.1,1409.0
152,*bagley chocolinas blanca x262gr-,1206.0,1340.0
153,*BAGLEY SONRISAS FRUTILLA-,770.4,856.0
154,*BAGLEY RUMBA X112GS-,770.4,856.0
155,*BAGLEY RUMBA x336-,2013.3,2237.0
156,*BAGLEY MELLIZAS X112GS-,770.4,856.0
157,*BAGLEY MERENGADAS X93-,770.4,856.0
158,*BAGLEY AMOR X112 GS-,770.4,856.0
159,*MACUCAS X110 GS-,616.5,685.0
160,*BAGLEY TRAVIATA X303GS-,1164.6,1294.0
161,*BAGLEY TRAVIATA X100 GR-,0.0,0.0
162,*AGUILA SALADIX JAMON X100-,993.6,1104.0
163,*AGUILA SALADIX PARMEZANO X100-,993.6,1104.0
164,*AGUILA SALADIX PIZZA X100-,993.6,1104.0
165,*AGUILA SALADIX CALABRESA X30-,666.0,740.0
166,*AGUILA SALADIX CALABREZA  X100-,993.6,1104.0
167,*AGUILA SALADIX JAMON X30-,666.0,740.0
168,*AGUILA SALADIX PARMEZANO X30-,666.0,740.0
169,*AGUILA SALADIX PIZZA X30G-,666.0,740.0
170,*BAGLEY PORTEÑITA X130-,703.8,782.0
171,*ARC TURRON 50X25G.-,7470.0,8300.0
172,*FIZZ X48 U -,7193.7,7993.0
173,*BAGLEY REX ESTUCHE X125-,1113.3,1237.0
174,*BAGLEY REX TUBO X75-,740.7,823.0
175,*BAGLEY REX X75G.-,740.7,823.0
176,*BAGLEY KESITAS ESTU. X125-,1113.3,1237.0
177,*BAGLEY KESITAS X75G.-,740.7,823.0
178,*BAGLEY SALVADO X3- ,1917.0,2130.0
179,*BAGLEY SALVADO X100 GR-,747.0,830.0
180,*ARC TURRON CHOCOLATE -,0.0,0.0
181,*SERRANAS SANDWICH X16,0.0,0.0
182,*SURTIDO BAGLEY -,1676.7,1863.0
183,*SURTIDO DIVERSION -,1454.4,1616.0
184,*BON O BON COCO 270GR,4783.5,5315.0
185,*KIOSCO EN CASA X246 GR-,5278.5,5865.0
186,*ARCOR SELECCION X228 GR-,5154.3,5727.0
187,*MOGUL CONITOS X1 KG -,6157.8,6842.0
188,*MOGUL JELLY BUTTONS X1 KG-,6157.8,6842.0
189,*MOGUL ANILLOS X1 KG -,6157.8,6842.0
190,*MOGUL DIENTES X500 GRS-,4228.2,4698.0
191,*MOGUL DIENTES X150 GRS-,0.0,0.0
